,1. How old are you ?,2. What is your current occupation?,3. How familiar are you with blockchain technology? ,4. How familiar are you with the concept of tokenization?,5. To what extent do you agree that Venture Capital Investment is accessible?,6. To what extent do you agree that tokenization will create new investment opportunities in the venture capital industry?,7. To what extent do you agree that tokenization will reduce the barriers to entry for venture capital investments?,"8. In your opinion, what impact will tokenization have on the liquidity of venture capital investments?",9. To what extent do you agree that tokenization will bring more innovation to the venture capital industry?,10. How do you see the future of tokenization and blockchain technology in the venture capital industry?,11. How do you think the adoption of tokenization will affect the traditional venture capital industry?,12. To what extent do you agree that the use of smart contracts will improve investment transparency?,13. To what extent do you agree that tokenization will eventually replace traditional forms of investment?,14. What kind of blockchain related investment have you done/led?,"15. To what extent do you agree with the statement: ""Investing in a token of a blockchain or a project contributes to its development and success""?","16. In your opinion, what is the biggest advantage of using tokenization in the venture capital industry?",17. What do you think are the biggest challenges to widespread adoption of tokenization in the venture capital industry?,18. How do you think tokenization affects the risk profile of an investment in a blockchain project?,19. How many new startups and innovative projects do you believe have been created as a result of the increased use of tokenization in venture capital investments?,"20. In your opinion, what are the disadvantages of tokenization in venture capital investments? (Select all that apply)"
,18-24,Student,Very familiar,Very familiar,Neutral,Agree,Disagree,No Impact,Neutral,Will coexist with traditional investments,Will have no effect on the industry,Neutral,Agree,None,Agree,It cannot be deciphered,It results to theft and hacking,Increases the risk,Many,Lack of investor protection
,25-34,Investor,Very familiar,Very familiar,Strongly Agree,Agree,Agree,Significant increase in liquidity,Strongly Agree,Will coexist with traditional investments,Will complement the industry,Strongly agree,Strongly Agree,ICO (Initial Coin Offering),Neutral,Credit card is secure,Bank don't accept changing technology,Neutral,Many,"Lack of investor protection, Complexity"
,18-24,Student,Somewhat familiar,Very familiar,Strongly Agree,Strongly Disagree,Strongly agree,No Impact,Agree,Will coexist with traditional investments,Will complement the industry,Agree,Disagree,None,Strongly Disagree,There's need for privacy enhancement,There is likely to be Scammers,Neutral,Many,Volatility
,25-34,Venture Capitalist,Very familiar,Very familiar,Strongly Agree,Strongly agree,Agree,Slight increase in liquidity,Strongly Agree,Will coexist with traditional investments,Will complement the industry,Agree,Agree,ICO (Initial Coin Offering),Strongly Agree,It helps PCI compliance,Disclaimer,Decreases the risk,Many,Volatility
,18-24,Student,Somewhat familiar,Somewhat familiar,Disagree,Neutral,Disagree,Slight increase in liquidity,Neutral,Will coexist with traditional investments,Will complement the industry,Neutral,Strongly Disagree,None,Disagree,It also Increases accountability,It also decreases accountability ,Decreases the risk,A significant amount,Volatility
,25-34,Industry Expert,Very familiar,Very familiar,Agree,Agree,Strongly agree,Slight increase in liquidity,Strongly Agree,Will coexist with traditional investments,Will complement the industry,Strongly agree,Strongly Agree,ICO (Initial Coin Offering),Agree,Facilitate using block chain technology,Disclaimer,Decreases the risk,A significant amount,Lack of investor protection
,18-24,Investor,Very familiar,Very familiar,Strongly Agree,Strongly agree,Strongly agree,Slight increase in liquidity,Agree,Will coexist with traditional investments,Will complement the industry,Strongly agree,Agree,"Regular Token Investement (ETH, BTC, etc.)",Strongly Agree,Privacy enhancement,Black market activity ,Decreases the risk,Very few,Volatility
,18-24,Student,Very familiar,Somewhat familiar,Agree,Disagree,Neutral,Decrease in liquidity,Agree,Will coexist with traditional investments,Will have no effect on the industry,Disagree,Neutral,None,Disagree,It is difficult to deciphered,It leads to lack of proper rules and regulations,Decreases the risk,Some,Regulatory uncertainty
,18-24,Student,Very familiar,Somewhat familiar,Agree,Neutral,Agree,Slight increase in liquidity,Strongly Agree,Will become the dominant form of investment,Will disrupt the industry,Agree,Strongly Agree,None,Disagree,It increases efficiency productivity ,It decreases efficiency and productivity,Decreases the risk,Many,"Regulatory uncertainty, Limited adoption"
,18-24,Student,Very familiar,Very familiar,Neutral,Agree,Agree,Slight increase in liquidity,Strongly Agree,Will become the dominant form of investment,Will disrupt the industry,Disagree,Neutral,None,Disagree,It provides resistant to satiation,There may be lack of proper rules ,Decreases the risk,A significant amount,Regulatory uncertainty
,18-24,Student,Very familiar,Very familiar,Agree,Agree,Agree,No Impact,Neutral,Will coexist with traditional investments,Will have no effect on the industry,Neutral,Neutral,None,Disagree,It facilitate using block chain technology,It does not facilitate using block chain technology,Neutral,Many,"Volatility, Limited adoption"
,18-24,Student,Very familiar,Somewhat familiar,Strongly Agree,Strongly agree,Agree,Slight increase in liquidity,Agree,Will coexist with traditional investments,Will complement the industry,Agree,Disagree,None,Disagree,Transactions must be Transparent ,Transactions might not need to be transparent ,Increases the risk,Many,"Regulatory uncertainty, Volatility"
,18-24,Venture Capitalist,Somewhat familiar,Very familiar,Disagree,Agree,Agree,Slight increase in liquidity,Agree,Will coexist with traditional investments,Will complement the industry,Neutral,Neutral,Serie A,Neutral,Transparent transactions,Disclaimer problem,Increases the risk,Many,"Regulatory uncertainty, Lack of investor protection, Complexity"
,25-34,Student,Very familiar,Very familiar,Strongly Agree,Agree,Agree,Slight increase in liquidity,Agree,Will be a passing trend,Will complement the industry,Agree,Disagree,None,Neutral,Easy creation of wallets account,Fraud ,Increases the risk,A significant amount,"Volatility, Lack of investor protection, Limited adoption, Complexity"
,25-34,Venture Capitalist,Somewhat familiar,Somewhat familiar,Strongly Agree,Strongly agree,Neutral,Slight increase in liquidity,Neutral,Will coexist with traditional investments,Will complement the industry,Neutral,Disagree,"Regular Token Investement (ETH, BTC, etc.)",Agree,Credit card security is high ,Cyber crime and scammers ,Decreases the risk,Some,"Regulatory uncertainty, Volatility, Lack of investor protection, Limited adoption, Complexity"
,25-34,Investor,Very familiar,Very familiar,Agree,Agree,Agree,Decrease in liquidity,Neutral,Will be a passing trend,Will have no effect on the industry,Disagree,Strongly Agree,None,Agree,More investors comes in for this process to make money ,Fraudulent act by online scammers,Decreases the risk,A significant amount,"Regulatory uncertainty, Volatility, Lack of investor protection, Limited adoption, Complexity"
,25-34,Venture Capitalist,Somewhat familiar,Very familiar,Agree,Agree,Neutral,Slight increase in liquidity,Agree,Will coexist with traditional investments,Will have no effect on the industry,Agree,Agree,None,Agree,Reduce data theft ,Its complex to understand,Neutral,Some,"Regulatory uncertainty, Volatility, Lack of investor protection, Limited adoption, Complexity"
,18-24,Student,Very familiar,Somewhat familiar,Agree,Strongly agree,Strongly agree,Slight increase in liquidity,Strongly Agree,Will become the dominant form of investment,Will complement the industry,Agree,Agree,"Regular Token Investement (ETH, BTC, etc.)",Agree,Easy to operate more than paper money ,Risk of getting duped of your token,Increases the risk,A significant amount,"Regulatory uncertainty, Volatility, Limited adoption"
,25-34,Investor,Very familiar,Somewhat familiar,Strongly Agree,Agree,Agree,Slight increase in liquidity,Neutral,Will become the dominant form of investment,Will complement the industry,Agree,Neutral,"Regular Token Investement (ETH, BTC, etc.)",Strongly Agree,Willl have great effect on the industry through the investor,Lack of proper regulations,Increases the risk,Very few,"Volatility, Lack of investor protection, Complexity"
,18-24,Investor,Very familiar,Very familiar,Strongly Agree,Neutral,Strongly agree,Slight increase in liquidity,Strongly Agree,Will coexist with traditional investments,Will disrupt the industry,Agree,Agree,"Regular Token Investement (ETH, BTC, etc.)",Agree,Builds customers and clients relationship,Volatility,Neutral,Very few,"Regulatory uncertainty, Volatility, Lack of investor protection"
,25-34,Venture Capitalist,Very familiar,Somewhat familiar,Neutral,Strongly agree,Strongly agree,Significant increase in liquidity,Agree,Will coexist with traditional investments,Will complement the industry,Agree,Agree,"Regular Token Investement (ETH, BTC, etc.)",Agree,Privacy enhancement,Decline in value of aseet or technology,Neutral,Unsure,"Regulatory uncertainty, Volatility, Lack of investor protection, Limited adoption"
,18-24,Investor,Somewhat familiar,Somewhat familiar,Agree,Neutral,Agree,Decrease in liquidity,Strongly Agree,Will be a passing trend,Will complement the industry,Agree,Agree,None,Strongly Disagree,Great investment opportunities ,Its hard to comprehend ,Neutral,Many,"Regulatory uncertainty, Volatility, Lack of investor protection, Limited adoption, Complexity"
,18-24,Student,Somewhat familiar,Very familiar,Strongly Agree,Strongly agree,Neutral,Significant increase in liquidity,Agree,Will coexist with traditional investments,Will complement the industry,Neutral,Agree,None,Agree,"Best time to invest,,, its a great development",Volatility,Increases the risk,A significant amount,"Volatility, Lack of investor protection, Limited adoption"
,25-34,Industry Expert,Very familiar,Very familiar,Strongly Agree,Strongly agree,Strongly agree,Not sure,Strongly Agree,Will become the dominant form of investment,Will disrupt the industry,Agree,Agree,None,Neutral,Will coexist with traditional investments,Lack of regulations,Increases the risk,Many,"Volatility, Lack of investor protection, Limited adoption"
,25-34,Student,Very familiar,Somewhat familiar,Neutral,Strongly agree,Strongly agree,Slight increase in liquidity,Neutral,Will be a passing trend,Will complement the industry,Agree,Neutral,None,Agree,Will become more source of investment for everyone,Uncertainty in regulations of policies,Increases the risk,Unsure,"Regulatory uncertainty, Volatility, Lack of investor protection, Limited adoption, Complexity"
,25-34,Venture Capitalist,Very familiar,Very familiar,Strongly Agree,Strongly agree,Strongly agree,Slight increase in liquidity,Strongly Agree,Will coexist with traditional investments,Will disrupt the industry,Agree,Neutral,"Regular Token Investement (ETH, BTC, etc.)",Strongly Agree,Additional income for we investors ,Easy to loose ,Increases the risk,Many,"Regulatory uncertainty, Volatility, Lack of investor protection, Limited adoption, Complexity"
,25-34,Investor,Very familiar,Very familiar,Neutral,Agree,Agree,Slight increase in liquidity,Neutral,Will coexist with traditional investments,Will have no effect on the industry,Neutral,Agree,"Regular Token Investement (ETH, BTC, etc.)",Strongly Agree,Increase level of accountability ,It heads to bottleneck when sending data,Increases the risk,Very few,"Regulatory uncertainty, Volatility, Lack of investor protection, Limited adoption, Complexity"
,18-24,Venture Capitalist,Very familiar,Very familiar,Strongly Agree,Strongly agree,Agree,Slight increase in liquidity,Agree,Will become the dominant form of investment,Will complement the industry,Strongly agree,Strongly Agree,ICO (Initial Coin Offering),Strongly Agree,Privacy,It is hard to understand,Decreases the risk,Many,Volatility
,18-24,Venture Capitalist,Very familiar,Very familiar,Agree,Strongly agree,Agree,Significant increase in liquidity,Strongly Agree,Will coexist with traditional investments,Will complement the industry,Strongly agree,Strongly Agree,ICO (Initial Coin Offering),Strongly Agree,Trustworthy,Cyber hacking,Decreases the risk,Many,Lack of investor protection
